,id,model_name,serial_number,site_name,address,latitude,longitude,energy_capacity,manufacture_date,installation_date,commission_date,warranty_date,contact_center_email,contact_center_name,contact_center_phone,facility_manager_email,facility_manager_phone,fgid,ownership,store_id,currency,shipping_date,has_door_sensors,alert_priority,customer_service,total_seccs,time_zone,tax_number
31,10,ChargeHub540-150J4,100010,Alaska,"1130 East 56th Av, Anchorage, AK 99518",61.16807556152344,-149.86386108398438,180,2022-11-15 17:00:00+00:00,2022-11-30 12:03:48.148000+00:00,2022-12-15 17:00:00+00:00,,,,,,,,Jule,,USD,,True,2,False,0,US/Alaska,GST/HST: 808-652-820
32,16,ChargeHub180-150J2,100016,Stephenson,"n8151 M-35, Cedar River, MI 49887, USA",45.4096565246582,-87.35693359375,180,2023-10-30 16:00:00+00:00,,2024-06-21 04:00:00+00:00,,,,,,,,Jule,,USD,,False,3,True,0,America/Toronto,GST/HST: 808-652-820
33,34,ChargeHub180-50J4,100034,Ford Erinwood,"2395 Motorway Blvd, Mississauga, ON L5L 1V4",43.53064727783203,-79.67613983154297,180,2023-11-22 16:00:00+00:00,2023-12-18 17:00:00+00:00,2023-12-21 17:00:00+00:00,,,,,,,,Jule,,CAD,,False,3,True,0,America/Toronto,GST/HST: R840039606
34,37,ChargeHub220-200J3,100037,Ford Hub City,"2909 NW Evangeline Thruway, Lafayette, LA 70507",30.282142639160156,-92.02204895019531,220,2024-01-24 17:00:00+00:00,2024-08-07 14:07:16+00:00,2024-08-07 14:07:16+00:00,2024-08-07 14:07:16+00:00,,,,,,,Jule,,USD,,False,3,True,0,US/Central,ST#: 2715999-001
35,44,ChargeHub180-150J2,100044,BC1 Maple Ridge,"11911 West St, Maple Ridge, BC V2X 3M6",49.2188963,-122.668165,220,,,,,,,,,,,,,CAD,,,2,False,0,America/Vancouver,GST/HST: 808806145 RT0001
36,14,ESS-PP-350-2,100014,Nashville DTN8 - Unit 2 [ESS-PP-350-2 SN: 000001],"1000 Richard Petty Way, Lebanon, TN 37090, USA",36.03941345214844,-86.39588928222656,360,2022-10-31 12:00:13+00:00,2024-05-09 20:42:52+00:00,2024-05-09 20:42:52+00:00,2024-05-09 20:42:52+00:00,,,,,,,PlugPower,,USD,,True,2,False,0,America/Toronto,
37,46,ChargeHub180-150J2,100046,ConEd 1,,43.7632279,-79.2756219,220,,,,,,,,,,,,,USD,,,2,False,0,America/Toronto,
38,47,ChargeHub180-150J2,100047,ConEd 2,,43.7632279,-79.2756219,220,,,,,,,,,,,,,USD,,,2,False,0,America/Toronto,
39,48,ChargeHub180-150J2,100048,ConEd 3,,43.7632279,-79.2756219,220,,,,,,,,,,,,,USD,,,2,False,0,America/Toronto,
40,49,ChargeHub180-150J2,100049,DRT,"715 Farewell St, Oshawa, ON L1H 6N3",43.883364,-78.8315652,220,,,,,,,,,,,,,USD,,,2,False,0,America/Toronto,
41,51,ChargeHub180-150J4,100051,Nevi 1,TBD,43.7632279,-79.2756219,220,,,,,,,,,,,,,USD,,,2,False,0,America/Toronto,
42,1,ChargeHub540-150J4,100001,Bayview Loblaws ,"2877 Bayview Avenue Toronto, ON M2K 2S3",43.76876449584961,-79.3877182006836,540,2022-02-08 16:00:00+00:00,2022-08-17 04:00:01+00:00,2022-08-30 04:00:00+00:00,2024-09-17 04:00:00+00:00,Mark.smith3@loblaw.ca,,4167331783,Mark.smith3@loblaw.ca,4167331783,FG002165,Landmark Loblaws,1019.0,CAD,2022-05-10 16:00:00+00:00,False,3,True,0,America/Toronto,GST/HST: 792315269
43,2,ChargeHub540-150J4,2811,Georgetown Superstore,"171 Guelph St, Georgetown, ON L7G 4A1",43.65061950683594,-79.9080810546875,540,2022-05-10 16:00:00+00:00,2022-06-10 16:00:00+00:00,2022-08-17 04:00:00+00:00,2022-08-17 13:17:38.429000+00:00,mon02811@loblaw.ca,,9058775393,mon02811@loblaw.ca,9058775393,FG002216,Landmark Loblaws,2811.0,CAD,2022-05-24 16:00:00+00:00,True,3,True,0,America/Toronto,GST/HST: 792315269
44,3,ChargeHub540-150J4,100003,Kanata Superstore,"760 Eagleson Rd, Kanata, ON K2M 0A7",45.282997131347656,-75.86659240722656,540,2022-05-27 16:00:00+00:00,2022-11-11 16:00:00+00:00,2022-12-05 16:00:00+00:00,2022-12-25 13:18:10.227000+00:00,mon02813@loblaw.ca,,6132546050,mon02813@loblaw.ca,,FG002178,Landmark Loblaws,2813.0,CAD,2022-06-07 16:00:00+00:00,True,3,True,0,America/Toronto,GST/HST: 792315269
45,4,ChargeHub540-150J4,100004,Brampton No Frills,85 Steeles Ave W Brampton Ontario L6Y 0K3,43.664337158203125,-79.73392486572266,540,2022-08-05 16:00:00+00:00,2022-10-03 16:00:00+00:00,2022-10-17 04:00:00+00:00,2022-10-17 04:00:00+00:00,mon02801@loblaw.ca,,9054514999,mon02801@loblaw.ca,,FG002208,Landmark Loblaws,7518.0,CAD,2022-08-19 16:00:00+00:00,True,3,True,0,America/Toronto,GST/HST: 792315269
46,5,ChargeHub540-150J4,100005,Kitchener Zehrs,"750 Ottawa St S, Kitchener, ON N2E 1B6",43.42401123046875,-80.48733520507812,540,2022-11-09 16:00:00+00:00,2022-11-29 16:00:00+00:00,2022-12-05 16:00:00+00:00,2022-12-05 16:00:00+00:00,mon00560@loblaw.ca,,5197445981,mon00560@loblaw.ca,,FG002217,Landmark Loblaws,560.0,CAD,2022-11-22 16:00:00+00:00,True,3,True,0,America/Toronto,GST/HST: 792315269
47,50,ChargeHub180-150J2,100050,NJ Edgewater,"3 Pembroke Pl, Edgewater, NJ 07020",40.802844,-73.9955407,220,,,,,,,,,,,,,USD,,,2,False,0,America/New_York,
48,41,ChargeHub220-200J2,100041,Sifton Cambridge,"1311 Riverbend Rd, London, ON N6J 0J6",42.962772369384766,-81.40061950683594,220,2024-03-15 17:00:00+00:00,2024-05-15 16:00:00+00:00,2024-05-25 16:00:00+00:00,,,,,,,,Sifton,,CAD,,,3,True,0,America/Toronto,GST/HST: 10485 1886 RT0001
49,42,ChargeHub220-200J3,100042,Longos Rutherford,"5283 Rutherford Rd, Woodbridge, ON L4H 2T2",43.81446838378906,-79.60641479492188,220,2024-04-02 16:00:00+00:00,2024-08-16 16:00:00+00:00,2024-08-22 04:00:00+00:00,,,,,,,,Jule,,CAD,,,3,True,0,America/Toronto,GST/HST: 808-652-820
50,43,ChargeHub180-150J3,100043,Longos Winston Churchill,"3163 Winston Churchill Blvd, Mississauga, ON L5L 2W1",43.52685546875,-79.68699645996094,180,,,,,,,,,,,Jule,,CAD,,,2,True,0,America/Toronto,GST/HST: 808-652-820
51,38,ChargeHub220-200J2,100038,U of T,"27 King's College Circle, Toronto, ON M5S 1A1",43.660911560058594,-79.39852905273438,220,2024-01-22 17:00:00+00:00,2024-08-21 04:00:00+00:00,,,,,,,,,Jule,,CAD,,True,3,True,0,America/Toronto,GST/HST: 808-652-820
